paper,title,room,category
1401,ControlFusion: A Controllable Image Fusion Network with Language-Vision Degradation Prompts,Room 2,applications
1402,MM-Agent: LLM as Agents for Real-world Mathematical Modeling Problem,Room 7,deep_learning
1403,InfiFPO: Implicit Model Fusion via Preference Optimization in Large Language Models,Room 11,deep_learning
1404,DynaPhArM: Adaptive and Physics-Constrained Modeling for Target-Drug Complexes with Drug-Specific Adaptations,Room 11,machine_learning_for_sciences
1405,Topology-aware Graph Diffusion Model with Persistent Homology,Room 1,deep_learning
1406,OmniSegmentor: A Flexible Multi-Modal Learning Framework for Semantic Segmentation,Room 5,applications
1407,Soft-consensual Federated Learning for Data Heterogeneity via Multiple Paths,Room 10,deep_learning
1408,ShapeX: Shapelet-Driven Post Hoc Explanations for Time Series Classification Models,Room 8,deep_learning
1409,Quartet: Native FP4 Training Can Be Optimal for Large Language Models,Room 11,infrastructure
1410,Breaking the Order Barrier: Off-Policy Evaluation for Confounded POMDPs,Room 6,theory
1411,Model Provenance Testing for Large Language Models,Room 7,deep_learning
1412,Learning Efficient Fuse-and-Refine for Feed-Forward 3D Gaussian Splatting,Room 9,applications
1413,SViMo: Synchronized Diffusion for Video and Motion Generation in Hand-object Interaction Scenarios,Room 10,applications
1414,HyPINO: Multi-Physics Neural Operators via HyperPINNs and the Method of Manufactured Solutions,Room 6,machine_learning_for_sciences
1415,Quasi-Self-Concordant Optimization with $\ell_{\infty}$ Lewis Weights,Room 12,optimization
1416,"Error Feedback under $(L_0,L_1)$-Smoothness: Normalization and Momentum",Room 6,optimization
1417,Reward Reasoning Models,Room 9,deep_learning
1418,What Really is a Member? Discrediting Membership Inference via Poisoning,Room 1,social_and_economic_aspects_of_machine_learning
1419,RidgeLoRA: Matrix Ridge Enhanced Low-Rank Adaptation of Large Language Models,Room 10,deep_learning
1420,Reinforcing Spatial Reasoning in Vision-Language Models with Interwoven Thinking and Visual Drawing,Room 5,applications
1421,Alleviating Hallucinations in Large Language Models through Multi-Model Contrastive Decoding and Dynamic Hallucination Detection,Room 8,deep_learning
1422,DINO-Foresight: Looking into the Future with DINO,Room 5,deep_learning
1423,STRATUS: A Multi-agent System for Autonomous Reliability Engineering of Modern Clouds,Room 3,applications
1424,PlanU: Large Language Model Reasoning through Planning under Uncertainty,Room 3,deep_learning
1425,AccuQuant: Simulating Multiple Denoising Steps for Quantizing Diffusion Models,Room 11,applications
1426,Sparse Diffusion Autoencoder for Test-time Adapting Prediction of Complex Systems,Room 4,machine_learning_for_sciences
1427,Jury-and-Judge Chain-of-Thought for Uncovering Toxic Data in 3D Visual Grounding,Room 3,deep_learning
1428,SNEAKDOOR: Stealthy Backdoor Attacks against Distribution Matching-based Dataset Condensation,Room 7,social_and_economic_aspects_of_machine_learning
1429,Bridging Human and LLM Judgments: Understanding and Narrowing the Gap,Room 3,evaluation
1430,FACE: A General Framework for Mapping Collaborative Filtering Embeddings into LLM Tokens,Room 2,applications
1431,Attribution-Driven Adaptive Token Pruning for Transformers,Room 8,deep_learning
1432,Guiding Cross-Modal Representations with MLLM Priors via Preference Alignment,Room 2,deep_learning
1433,Interpreting Emergent Features in Deep Learning-based Side-channel Analysis,Room 10,applications
1434,Scaling Data-Driven Probabilistic Robustness Analysis for Semantic Segmentation Neural Networks,Room 6,deep_learning
1435,"Datasets, Documents, and Repetitions: The Practicalities of Unequal Data Quality",Room 3,deep_learning
1436,Think or Not? Exploring Thinking Efficiency in Large Reasoning Models via an Information-Theoretic Lens,Room 10,deep_learning
1437,From Contextual Combinatorial Semi-Bandits to Bandit List Classification: Improved Sample Complexity with Sparse Rewards,Room 1,theory
1438,InfiniPot-V: Memory-Constrained KV Cache Compression for Streaming Video Understanding,Room 2,deep_learning
1439,Exploring the Translation Mechanism of Large Language Models,Room 2,social_and_economic_aspects_of_machine_learning
1440,U-REPA: Aligning Diffusion U-Nets to ViTs,Room 11,deep_learning
1441,Hyperbolic Fine-Tuning for Large Language Models,Room 1,deep_learning
1442,SRHand: Super-Resolving Hand Images and 3D Shapes via View/Pose-aware Neural Image Representations and Explicit Meshes,Room 9,deep_learning
1443,Enhancing Infrared Vision: Progressive Prompt Fusion Network and Benchmark,Room 2,applications
1444,Rethinking the Role of Verbatim Memorization in LLM Privacy,Room 3,social_and_economic_aspects_of_machine_learning
1445,Deep Continuous-Time State-Space Models for Marked Event Sequences,Room 2,probabilistic_methods
1446,Blindfolded Experts Generalize Better:  Insights from Robotic Manipulation and Videogames,Room 10,reinforcement_learning
1447,InvisibleInk: High-Utility and Low-Cost Text Generation with Differential Privacy,Room 3,social_and_economic_aspects_of_machine_learning
1448,Cameras as Relative Positional Encoding,Room 5,applications
1449,Unsupervised Federated Graph Learning,Room 6,general_machine_learning
1450,HBLLM: Wavelet-Enhanced High-Fidelity 1-Bit Quantization for LLMs,Room 11,deep_learning
1451,Eulerian Neural Network Informed by Chemical Transport for Air Quality Forecasting,Room 12,machine_learning_for_sciences
1452,Adaptive Re-calibration Learning for Balanced Multimodal Intention Recognition,Room 1,deep_learning
1453,Rethinking Tokenized Graph Transformers  for Node Classification,Room 6,deep_learning
1454,Fast Local Search Algorithms for Clustering with Adaptive Sampling and Bandit Strategies,Room 1,theory
1455,Prior-Guided Diffusion Planning for Offline Reinforcement Learning,Room 11,reinforcement_learning
1456,Removing Concepts from Text-to-Image Models with Only Negative Samples,Room 2,social_and_economic_aspects_of_machine_learning
1457,SwS: Self-aware Weakness-driven Problem Synthesis in Reinforcement Learning for LLM Reasoning,Room 2,deep_learning
1458,Can Large Language Models Master Complex Card Games?,Room 3,evaluation
1459,"Dual-Flow: Transferable Multi-Target, Instance-Agnostic Attacks via $\textit{In-the-wild}$ Cascading Flow Optimization",Room 10,deep_learning
1460,Risk-aware Direct Preference Optimization under Nested Risk Measure,Room 8,deep_learning
1461,L$^2$M: Mutual Information Scaling Law for Long-Context Language Modeling,Room 8,deep_learning
1462,Energy Loss Functions for Physical Systems,Room 4,machine_learning_for_sciences
1463,DSAS: A Universal Plug-and-Play Framework for Attention Optimization in Multi-Document Question Answering,Room 2,deep_learning
1464,Resource-Constrained Federated Continual Learning: What Does Matter?,Room 10,other
1465,TaDiCodec: Text-aware Diffusion Speech Tokenizer for Speech Language Modeling,Room 8,applications
1466,Which Algorithms Have Tight Generalization Bounds?,Room 1,theory
1467,Generative diffusion for perceptron problems: statistical physics analysis and efficient algorithms,Room 4,theory
1468,An Improved Algorithm for Adversarial Linear Contextual Bandits via Reduction,Room 4,theory
1469,Learning Multi-Source and Robust Representations for Continual Learning,Room 12,machine_learning_for_sciences
1470,Axial Neural Networks for Dimension-Free Foundation Models,Room 2,deep_learning
1471,Flexible Realignment of Language Models,Room 8,deep_learning
1472,Horizon Reduction Makes RL Scalable,Room 3,reinforcement_learning
1473,Metis: A Foundation Speech Generation Model with Masked Generative Pre-training,Room 8,applications
1474,Optimizing the Unknown: Black Box Bayesian Optimization with Energy-Based Model and Reinforcement Learning,Room 4,optimization
1475,Leveraging Conditional Dependence for Efficient World Model Denoising,Room 6,reinforcement_learning
1476,Large Language Models for Lossless Image Compression: Next-Pixel Prediction in Language Space is All You Need,Room 5,deep_learning
1477,Prompt-guided Disentangled Representation for Action Recognition,Room 2,deep_learning
1478,Conformal Online Learning of Deep Koopman Linear Embeddings,Room 12,general_machine_learning
1479,NegoCollab: A Common Representation Negotiation Approach for Heterogeneous Collaborative Perception,Room 1,applications
1480,OpenBox: Annotate Any Bounding Boxes in 3D,Room 9,applications
1481,SGCD: Stain-Guided CycleDiffusion for Unsupervised Domain Adaptation of Histopathology Image Classification,Room 5,deep_learning
1482,Recognition through Reasoning: Reinforcing Image Geo-localization with Large Vision-Language Models,Room 1,applications
1483,Finding Low-Rank Matrix Weights in DNNs via Riemannian Optimization: RAdaGrad and RAdamW,Room 11,optimization
1484,Semantic Representation Attack against Aligned Large Language Models,Room 10,social_and_economic_aspects_of_machine_learning
1485,From Specificity to Generality: Revisiting Generalizable Artifacts in Detecting Face Deepfakes,Room 2,social_and_economic_aspects_of_machine_learning
1486,"NestedFP: High-Performance, Memory-Efficient Dual-Precision Floating Point Support for LLMs",Room 8,infrastructure
1487,Consistent Supervised-Unsupervised Alignment for Generalized Category Discovery,Room 1,applications
1488,"On Vanishing Gradients, Over-Smoothing, and Over-Squashing in GNNs: Bridging Recurrent and Graph Learning",Room 6,deep_learning
1489,Optimism Without Regularization: Constant Regret in Zero-Sum Games,Room 10,theory
1490,SensorLM: Learning the Language of Wearable Sensors,Room 5,applications
1491,Dataset Distillation of 3D Point Clouds via Distribution Matching,Room 1,applications
1492,Identifiability of Deep Polynomial Neural Networks,Room 4,theory
1493,Hybrid Latent Reasoning via Reinforcement Learning,Room 7,deep_learning
1494,Self-Supervised Discovery of Neural Circuits in Spatially Patterned Neural Responses with Graph Neural Networks,Room 12,neuroscience_and_cognitive_science
1495,HQA-VLAttack: Towards High Quality Adversarial Attack on Vision-Language Pre-Trained Models,Room 8,general_machine_learning
1496,DiffLiG: Diffusion-enhanced Liquid Graph with Attention Propagation for Grid-to-Station Precipitation Correction,Room 1,machine_learning_for_sciences
1497,Diffusion on Demand: Selective Caching and Modulation for Efficient Generation,Room 1,deep_learning
1498,Revisiting Multi-Agent World Modeling from a Diffusion-Inspired Perspective,Room 12,reinforcement_learning
1499,From Synapses to Dynamics: Obtaining Function from Structure in a Connectome Constrained Model of the Head Direction Circuit,Room 12,neuroscience_and_cognitive_science
1500,Robust and Scalable Autonomous Reinforcement Learning in Irreversible Environments,Room 12,reinforcement_learning
1501,Controllable 3D Molecular Generation for Structure-Based Drug Design Through Bayesian Flow Networks and Gradient Integration,Room 7,machine_learning_for_sciences
1502,Event-Guided Consistent Video Enhancement with Modality-Adaptive Diffusion Pipeline,Room 5,applications
1503,NPN: Non-Linear Projections of the Null-Space for Imaging Inverse Problems,Room 4,optimization
1504,INST-IT: Boosting Instance Understanding via Explicit Visual Prompt Instruction Tuning,Room 9,deep_learning
1505,HoloLLM: Multisensory Foundation Model for Language-Grounded Human Sensing and Reasoning,Room 5,deep_learning
1506,Dynamic Shadow Unveils Invisible Semantics for Video Outpainting,Room 5,deep_learning
1507,Eagle 2.5: Boosting Long-Context Post-Training for Frontier Vision-Language Models,Room 11,applications
1508,Geometry-Aware Collaborative Multi-Solutions Optimizer for Model Fine-Tuning with Parameter Efficiency,Room 3,deep_learning
1509,InstanceAssemble: Layout-Aware Image Generation via Instance Assembling Attention,Room 5,deep_learning
1510,FFN Fusion: Rethinking Sequential Computation in Large Language Models,Room 7,deep_learning
1511,Precise Information Control in Long-Form Text Generation,Room 8,applications
1512,Posterior Sampling by Combining Diffusion Models with Annealed Langevin Dynamics,Room 6,theory
1513,RAPTR: Radar-based 3D Pose Estimation using Transformer,Room 1,applications
1514,Block Coordinate Descent for Neural Networks Provably Finds Global Minima,Room 4,theory
1515,ReCAP: Recursive Context-Aware Reasoning and Planning for Large Language Model Agents,Room 10,deep_learning
1516,HoT-VI: Reparameterizable Variational Inference for Capturing Instance-Level High-Order Correlations,Room 7,probabilistic_methods
1517,MANGO: Multimodal Attention-based Normalizing Flow Approach to Fusion Learning,Room 8,applications
1518,EquiTabPFN: A Target-Permutation Equivariant Prior Fitted Network,Room 7,deep_learning
1519,EditInfinity: Image Editing with Binary-Quantized Generative Models,Room 2,applications
1520,AdaptDel: Adaptable Deletion Rate Randomized Smoothing for Certified Robustness,Room 1,social_and_economic_aspects_of_machine_learning
1521,Directed-Tokens: A Robust Multi-Modality Alignment Approach to Large Language-Vision Models,Room 8,applications
1522,Distilling LLM Agent into Small Models with Retrieval and Code Tools,Room 9,deep_learning
1523,VAGEN: Reinforcing World Model Reasoning for Multi-Turn VLM Agents,Room 10,deep_learning
1524,End-to-End Low-Light Enhancement for Object Detection with Learned Metadata from RAWs,Room 2,applications
1525,Kinetics: Rethinking Test-Time Scaling Law,Room 12,deep_learning
1526,Scalable Exploration via Ensemble++,Room 12,reinforcement_learning
1527,Zero-Shot Performance Prediction for Probabilistic Scaling Laws,Room 7,general_machine_learning
1528,DualCnst: Enhancing Zero-Shot Out-of-Distribution Detection via Text-Image Consistency in Vision-Language Models,Room 8,general_machine_learning
1529,Improved Scaling Laws in Linear Regression via Data Reuse,Room 3,theory
1530,Unveiling Extraneous Sampling Bias with Data Missing-Not-At-Random,Room 3,probabilistic_methods
1531,Delta Attention: Fast and Accurate Sparse Attention Inference by Delta Correction,Room 5,deep_learning
1532,Neural Fractional Attention Differential Equations,Room 4,general_machine_learning
1533,A Statistical Theory of Contrastive Learning via Approximate Sufficient Statistics,Room 12,theory
1534,FSI-Edit: Frequency and Stochasticity Injection for Flexible Diffusion-Based Image Editing,Room 2,deep_learning
1535,Purity Law for Neural Routing Problem Solvers with Enhanced Generalizability,Room 4,optimization
1536,Understanding Parametric and Contextual Knowledge Reconciliation within Large Language Models,Room 3,applications
1537,Learning to Route: Per-Sample Adaptive Routing for Multimodal Multitask Prediction,Room 3,deep_learning
1538,Self-Challenging Language Model Agents,Room 9,deep_learning
1539,Zebra-Llama: Towards Extremely Efficient Hybrid Models,Room 7,deep_learning
1540,From Replication to Redesign: Exploring Pairwise Comparisons for LLM-Based Peer Review,Room 3,other
1541,Aligning Text to Image in Diffusion Models is Easier Than You Think,Room 5,deep_learning
1542,Ada-KV: Optimizing KV Cache Eviction by Adaptive Budget Allocation for Efficient LLM Inference,Room 7,deep_learning
1543,How Memory in Optimization Algorithms Implicitly Modifies the Loss,Room 6,optimization
1544,"Differentiable Decision Tree via ""ReLU+Argmin"" Reformulation",Room 4,general_machine_learning
1545,Towards Robust Zero-Shot Reinforcement Learning,Room 12,reinforcement_learning
1546,MotionRAG: Motion Retrieval-Augmented Image-to-Video Generation,Room 10,applications
1547,RankMatch: A Novel Approach to Semi-Supervised Label Distribution Learning Leveraging Rank Correlation between Labels,Room 11,general_machine_learning
1548,Isotropic Noise in Stochastic and Quantum Convex Optimization,Room 4,optimization
1549,"Less Is More, but Where? Dynamic Token Compression via LLM-Guided Keyframe Prior",Room 2,applications
1550,Distributionally Robust Performative Optimization,Room 4,optimization
1551,Manipulating 3D Molecules in a Fixed-Dimensional E(3)-Equivariant Latent Space,Room 6,machine_learning_for_sciences
1552,BlockDecoder: Boosting ASR Decoders with Context and Merger Modules,Room 8,applications
1553,SafeVLA: Towards Safety Alignment of Vision-Language-Action Model via Constrained Learning,Room 7,social_and_economic_aspects_of_machine_learning
1554,Accelerating Multimodal Large Language Models via Dynamic Visual-Token Exit and the Empirical Findings,Room 9,applications
1555,Information-theoretic Generalization Analysis for VQ-VAEs: A Role of Latent Variables,Room 2,theory
1556,Learning Orthogonal Multi-Index Models: A Fine-Grained Information Exponent Analysis,Room 4,theory
1557,Hierarchical Self-Attention: Generalizing Neural Attention Mechanics to Multi-Scale Problems,Room 8,deep_learning
1558,Empower Words: DualGround for Structured Phrase and Sentence-Level Temporal Grounding,Room 11,deep_learning
1559,3D Interaction Geometric Pre-training for Molecular Relational Learning,Room 11,machine_learning_for_sciences
1560,Direct Alignment with Heterogeneous Preferences,Room 11,social_and_economic_aspects_of_machine_learning
1561,Measure-Theoretic Anti-Causal Representation Learning,Room 3,probabilistic_methods
1562,Improved Bounds for Swap Multicalibration and Swap Omniprediction,Room 4,theory
1563,RayFusion: Ray Fusion Enhanced Collaborative Visual Perception,Room 1,deep_learning
1564,MACS: Multi-Agent Reinforcement Learning for Optimization of Crystal Structures,Room 12,reinforcement_learning
1565,The Burden of Interactive Alignment with Inconsistent Preferences,Room 12,theory
1566,AceReason-Nemotron: Advancing Math and Code Reasoning through Reinforcement Learning,Room 2,deep_learning
1567,Focus-Then-Reuse: Fast Adaptation in Visual Perturbation Environments,Room 9,reinforcement_learning
1568,DeepASA: An Object-Oriented Multi-Purpose Network for Auditory Scene Analysis,Room 8,applications
1569,Learning Personalized Ad Impact via Contextual Reinforcement Learning under Delayed Rewards,Room 12,theory
1570,UniteFormer: Unifying Node and Edge Modalities in Transformers for Vehicle Routing Problems,Room 4,optimization
1571,Simultaneous Swap Regret Minimization via KL-Calibration,Room 4,theory
1572,Decoder-Hybrid-Decoder Architecture for Efficient Reasoning with Long Generation,Room 8,deep_learning
1573,4D3R: Motion-Aware Neural Reconstruction and Rendering of Dynamic Scenes from Monocular Videos,Room 9,deep_learning
1574,PrefixKV: Adaptive Prefix KV Cache is What Vision Instruction-Following Models Need for Efficient Generation,Room 9,deep_learning
1575,Chain of Execution Supervision Promotes General Reasoning in Large Language Models,Room 9,applications
1576,Wide-Horizon Thinking and Simulation-Based Evaluation for Real-World LLM Planning with Multifaceted Constraints,Room 1,applications
1577,ESCA: Enabling Seamless Codec Avatar Execution through Algorithm and Hardware Co-Optimization for Virtual Reality,Room 5,applications
1578,SiriuS: Self-improving Multi-agent Systems via Bootstrapped Reasoning,Room 9,deep_learning
1579,Data-Free Model Extraction for Black-box Recommender Systems via Graph Convolutions,Room 1,social_and_economic_aspects_of_machine_learning
1580,EnzyControl: Adding Functional and Substrate-Specific Control for Enzyme Backbone Generation,Room 7,machine_learning_for_sciences
1581,Does Object Binding Naturally Emerge in Large Pretrained Vision Transformers?,Room 2,neuroscience_and_cognitive_science
1582,CIDD: Collaborative Intelligence for Structure-Based Drug Design Empowered by LLMs,Room 7,machine_learning_for_sciences
1583,Beyond Node-Centric Modeling: Sketching Signed Networks with Simplicial Complexes,Room 6,general_machine_learning
1584,MutualVPR: A Mutual Learning Framework for Resolving Supervision Inconsistencies via Adaptive Clustering,Room 9,applications
1585,Probing Neural Combinatorial Optimization Models,Room 3,optimization
1586,A Principled Path to Fitted Distributional Evaluation,Room 11,theory
1587,Robust Ego-Exo Correspondence with Long-Term Memory,Room 5,applications
1588,From Softmax to Score: Transformers Can Effectively Implement In-Context Denoising Steps,Room 1,deep_learning
1589,HumanoidGen: Data Generation for Bimanual Dexterous Manipulation via LLM Reasoning,Room 5,deep_learning
1590,Improving LLM General Preference Alignment via Optimistic Online Mirror Descent,Room 3,deep_learning
1591,Sharp Gap-Dependent Variance-Aware Regret Bounds for Tabular MDPs,Room 1,theory
1592,Geometry of Decision Making in Language Models,Room 7,deep_learning
1593,Progressive Inference-Time Annealing of Diffusion Models for Sampling from Boltzmann Densities,Room 11,machine_learning_for_sciences
1594,Beyond Components: Singular Vector-Based Interpretability of Transformer Circuits,Room 8,deep_learning
1595,Compositional Monte Carlo Tree Diffusion for Extendable Planning,Room 3,reinforcement_learning
1596,Conformal Linguistic Calibration: Trading-off between Factuality and Specificity,Room 3,applications
1597,Fast Monte Carlo Tree Diffusion: 100× Speedup via Parallel and Sparse Planning,Room 3,reinforcement_learning
1598,Functional data analysis for multivariate distributions through Wasserstein slicing,Room 1,theory
1599,Defending Multimodal Backdoored Models by Repulsive Visual Prompt Tuning,Room 10,deep_learning
1600,Towards 3D Objectness Learning in an Open World,Room 9,applications
1601,MPS-Prover: Advancing Stepwise Theorem Proving by Multi-Perspective Search and Data Curation,Room 7,deep_learning
1602,SEC-bench: Automated Benchmarking of LLM Agents on Real-World Software Security Tasks,Room 3,evaluation
1603,Characterization and Learning of Causal Graphs from Hard Interventions,Room 11,probabilistic_methods
1604,Zero-shot Denoising via Neural Compression: Theoretical and algorithmic framework,Room 1,general_machine_learning
1605,Tracing the Representation Geometry of Language Models from Pretraining to Post-training,Room 1,deep_learning
1606,TTRL: Test-Time Reinforcement Learning,Room 9,deep_learning
1607,Subspace Networks: Scaling Decentralized Training with Communication-Efficient Model Parallelism,Room 7,deep_learning
1608,Mixtures of Subspaces for Bandwidth Efficient Context Parallel Training,Room 7,deep_learning
1609,SPMDM: Enhancing Masked Diffusion Models through Simplifying Sampling Path,Room 11,deep_learning
1610,Distilled Decoding 2: One-step Sampling of Image Auto-regressive Models with Conditional Score Distillation,Room 5,deep_learning
1611,Understanding Adam Requires Better Rotation Dependent Assumptions,Room 1,deep_learning
1612,Momentum Multi-Marginal Schrödinger Bridge Matching,Room 4,deep_learning
1613,Disentangling Superpositions: Interpretable Brain Encoding Model with Sparse Concept Atoms,Room 9,neuroscience_and_cognitive_science
1614,Staggered Environment Resets Improve Massively Parallel On-Policy Reinforcement Learning,Room 1,reinforcement_learning
1615,DreamLight: Towards Harmonious and Consistent Image Relighting,Room 5,applications
1616,Alternating Gradient Flows: A Theory of Feature Learning in Two-layer Neural Networks,Room 6,theory
1617,Robust Equilibria in Continuous Games: From Strategic to Dynamic Robustness,Room 10,theory
1618,When Are Concepts Erased From Diffusion Models?,Room 2,deep_learning
1619,Nonparametric Quantile Regression with ReLU-Activated Recurrent Neural Networks,Room 4,deep_learning
1620,Understanding and Mitigating Numerical Sources of Nondeterminism in LLM Inference,Room 8,deep_learning
1621,Hierarchical Demonstration Order Optimization for Many-shot In-Context Learning,Room 3,applications
1622,Unifying Symbolic Music Arrangement: Track-Aware Reconstruction and Structured Tokenization,Room 1,applications
1623,Self-Improving Embodied Foundation Models,Room 12,reinforcement_learning
1624,Prompt Tuning Transformers for Data Memorization,Room 7,deep_learning
1625,Network two-sample test for block models,Room 1,theory
1626,SemCoT: Accelerating Chain-of-Thought Reasoning through Semantically-Aligned Implicit Tokens,Room 7,applications
1627,In-Context Learning Strategies Emerge Rationally,Room 7,social_and_economic_aspects_of_machine_learning
1628,Optimality and NP-Hardness of Transformers in Learning  Markovian Dynamical Functions,Room 7,theory
1629,Thinking vs. Doing: Improving Agent Reasoning by  Scaling Test-Time Interaction,Room 3,deep_learning
1630,Time Reversal Symmetry for Efficient Robotic Manipulations in Deep Reinforcement Learning,Room 6,reinforcement_learning
1631,On the Sample Complexity Bounds of Bilevel Reinforcement Learning,Room 4,reinforcement_learning
1632,QuARI: Query Adaptive Retrieval Improvement,Room 5,deep_learning
1633,Correlated Low-Rank Adaptation for ConvNets,Room 9,deep_learning
1634,PRIMT: Preference-based Reinforcement Learning with Multimodal Feedback and Trajectory Synthesis from Foundation Models,Room 12,reinforcement_learning
1635,Beyond Prediction: Managing the Repercussions of Machine Learning Applications,Room 1,social_and_economic_aspects_of_machine_learning
1636,Offline RL by Reward-Weighted Fine-Tuning for Conversation Optimization,Room 10,deep_learning
1637,CAT: Content-Adaptive Image Tokenization,Room 8,deep_learning
1638,H3D-DGS: Exploring Heterogeneous 3D Motion Representation for Deformable 3D Gaussian Splatting,Room 9,applications
1639,Keeping an Eye on LLM Unlearning: The Hidden Risk and Remedy,Room 7,social_and_economic_aspects_of_machine_learning
1640,Sketch-Augmented Features Improve Learning Long-Range Dependencies in Graph Neural Networks,Room 3,deep_learning
1641,Quality-Driven Curation of Remote Sensing Vision-Language Data via Learned Scoring Models,Room 5,applications
1642,Objective Soups: Multilingual Multi-Task Modeling for Speech Processing,Room 8,applications
1643,Cross City Traffic Flow Generation via Retrieval Augmented Diffusion Model,Room 1,applications
1644,Adaptive Sigmoid Clipping for Balancing the Direction–Magnitude Mismatch Trade-off in Differentially Private Learning,Room 10,social_and_economic_aspects_of_machine_learning
1645,HyperGraphRAG: Retrieval-Augmented Generation via Hypergraph-Structured Knowledge Representation,Room 3,machine_learning_for_sciences
1646,ForceVLA: Enhancing VLA Models with a Force-aware MoE for Contact-rich Manipulation,Room 5,reinforcement_learning
1647,UniDomain: Pretraining a Unified PDDL Domain from Real-World Demonstrations for Generalizable Robot Task Planning,Room 9,reinforcement_learning
1648,Gaussian Approximation and Concentration of Constant Learning-Rate Stochastic Gradient Descent,Room 12,optimization
1649,ReMA: Learning to Meta-Think for LLMs with Multi-agent Reinforcement Learning,Room 9,deep_learning
1650,GenIR: Generative Visual Feedback for Mental Image Retrieval,Room 5,deep_learning
1651,PointTruss: K-Truss for Point Cloud Registration,Room 2,general_machine_learning
1652,Agentic Plan Caching: Test-Time Memory for Fast and Cost-Efficient LLM Agents,Room 3,infrastructure
1653,Split Gibbs Discrete Diffusion Posterior Sampling,Room 11,probabilistic_methods
1654,KVLink: Accelerating Large Language Models via Efficient KV Cache Reuse,Room 7,deep_learning
1655,GFM-RAG: Graph Foundation Model for Retrieval Augmented Generation,Room 3,deep_learning
1656,Graph-based Symbolic Regression with Invariance and Constraint Encoding,Room 12,machine_learning_for_sciences
1657,Language‑Bias‑Resilient Visual Question Answering via Adaptive Multi‑Margin Collaborative Debiasing,Room 9,applications
1658,Transformers Provably Learn Chain-of-Thought Reasoning with Length Generalization,Room 1,theory
1659,DoDo-Code: an Efficient Levenshtein Distance Embedding-based Code for 4-ary IDS Channel,Room 1,applications
1660,Tru-POMDP: Task Planning Under Uncertainty via Tree of Hypotheses and Open-Ended POMDPs,Room 2,reinforcement_learning
1661,WhAM: Towards A Translative Model of Sperm Whale Vocalization,Room 1,machine_learning_for_sciences
1662,Know What You Don't Know: Uncertainty Calibration of Process Reward Models,Room 7,deep_learning
1663,DuetGraph: Coarse-to-Fine Knowledge Graph Reasoning with Dual-Pathway Global-Local Fusion,Room 1,general_machine_learning
1664,CMoB: Modality Valuation via Causal Effect for Balanced Multimodal Learning,Room 8,deep_learning
1665,Mint: A Simple Test-Time Adaptation of Vision-Language Models against Common Corruptions,Room 2,deep_learning
1666,FlowPrune: Accelerating Attention Flow Calculation by Pruning Flow Network,Room 8,deep_learning
1667,Towards Large-Scale In-Context Reinforcement Learning by Meta-Training in Randomized Worlds,Room 12,reinforcement_learning
1668,Matryoshka Pilot: Learning to Drive Black-Box LLMs with LLMs,Room 10,deep_learning
1669,Learning Expandable and Adaptable Representations for Continual Learning,Room 12,optimization
1670,Gradient-Variation Online Adaptivity for Accelerated Optimization with Hölder Smoothness,Room 4,optimization
1671,On the Complexity of Finding Stationary Points in Nonconvex Simple Bilevel Optimization,Room 4,optimization
1672,A Smooth Sea Never Made a Skilled SAILOR: Robust Imitation via Learning to Search,Room 10,reinforcement_learning
1673,Statistics Caching Test-Time Adaptation for Vision-Language Models,Room 7,applications
1674,Lost in Latent Space: An Empirical Study of Latent Diffusion Models for Physics Emulation,Room 2,machine_learning_for_sciences
1675,MAESTRO : Adaptive Sparse Attention and Robust Learning for Multimodal Dynamic Time Series,Room 8,deep_learning
1676,Selective Learning for Deep Time Series Forecasting,Room 6,deep_learning
1677,$\text{G}^2\text{M}$: A Generalized Gaussian Mirror Method to Boost Feature Selection Power,Room 4,probabilistic_methods
1678,TAI3: Testing Agent Integrity in Interpreting User Intent,Room 10,social_and_economic_aspects_of_machine_learning
1679,OVS Meets Continual Learning: Towards Sustainable Open-Vocabulary Segmentation,Room 2,applications
1680,Shaping Sequence Attractor Schema in Recurrent Neural Networks,Room 1,neuroscience_and_cognitive_science
1681,Re-coding for Uncertainties: Edge-awareness Semantic Concordance for Resilient Event-RGB Segmentation,Room 5,deep_learning
1682,RODS: Robust Optimization Inspired Diffusion Sampling for Detecting and Reducing Hallucination in Generative Models,Room 11,deep_learning
1683,Complexity Scaling Laws for Neural Models using Combinatorial Optimization,Room 4,deep_learning
1684,"Latent Zoning Network: A Unified Principle for Generative Modeling, Representation Learning, and Classification",Room 2,general_machine_learning
1685,Mamba Modulation: On the Length Generalization of Mamba Models,Room 7,deep_learning
1686,Ctrl-DNA: Controllable Cell-Type-Specific Regulatory DNA Design via Constrained RL,Room 7,machine_learning_for_sciences
1687,Token Perturbation Guidance for Diffusion Models,Room 7,deep_learning
1688,KAIROS: Scalable Model-Agnostic Data Valuation,Room 3,general_machine_learning
1689,On the Universal Near Optimality of Hedge in Combinatorial Settings,Room 1,theory
1690,Confounding Robust Deep Reinforcement Learning: A Causal Approach,Room 3,probabilistic_methods
1691,Balanced Token Pruning: Accelerating Vision Language Models Beyond Local Optimization,Room 8,deep_learning
1692,"Transfer Faster, Price Smarter: Minimax Dynamic Pricing under Cross-Market Preference Shift",Room 4,general_machine_learning
1693,Anomaly Detection by an Ensemble of  Random Pairs of Hyperspheres,Room 6,general_machine_learning
