group,primary_cat,title,abstract
Economics,econ.EM,Endogenous growth - A dynamic technology augmentation of the Solow model,"  In this paper, I endeavour to construct a new model, by extending the classic
exogenous economic growth model by including a measurement which tries to
explain and quantify the size of technological innovation ( A ) endogenously. I
do not agree technology is a ""constant"" exogenous variable, because it is
humans who create all technological innovations, and it depends on how much
human and physical capital is allocated for its research. I inspect several
possible approaches to do this, and then I test my model both against sample
and real world evidence data. I call this method ""dynamic"" because it tries to
model the details in resource allocations between research, labor and capital,
by affecting each other interactively. In the end, I point out which is the new
residual and the parts of the economic growth model which can be further
improved.
"
Economics,econ.TH,Forecast Hedging and Calibration,"  Calibration means that forecasts and average realized frequencies are close.
We develop the concept of forecast hedging, which consists of choosing the
forecasts so as to guarantee that the expected track record can only improve.
This yields all the calibration results by the same simple basic argument while
differentiating between them by the forecast-hedging tools used: deterministic
and fixed point based versus stochastic and minimax based. Additional
contributions are an improved definition of continuous calibration, ensuing
game dynamics that yield Nash equilibria in the long run, and a new calibrated
forecasting procedure for binary events that is simpler than all known such
procedures.
"
Computer Science,cs.SC,A Sparse Flat Extension Theorem for Moment Matrices,"  In this note we prove a generalization of the flat extension theorem of Curto
and Fialkow for truncated moment matrices. It applies to moment matrices
indexed by an arbitrary set of monomials and its border, assuming that this set
is connected to 1. When formulated in a basis-free setting, this gives an
equivalent result for truncated Hankel operators.
"
Statistics,stat.AP,A functional approach to deconvolve dynamic neuroimaging data,"  Positron Emission Tomography (PET) is an imaging technique which can be used
to investigate chemical changes in human biological processes such as cancer
development or neurochemical reactions. Most dynamic PET scans are currently
analyzed based on the assumption that linear first order kinetics can be used
to adequately describe the system under observation. However, there has
recently been strong evidence that this is not the case. In order to provide an
analysis of PET data which is free from this compartmental assumption, we
propose a nonparametric deconvolution and analysis model for dynamic PET data
based on functional principal component analysis. This yields flexibility in
the possible deconvolved functions while still performing well when a linear
compartmental model setup is the true data generating mechanism. As the
deconvolution needs to be performed on only a relative small number of basis
functions rather than voxel by voxel in the entire 3-D volume, the methodology
is both robust to typical brain imaging noise levels while also being
computationally efficient. The new methodology is investigated through
simulations in both 1-D functions and 2-D images and also applied to a
neuroimaging study whose goal is the quantification of opioid receptor
concentration in the brain.
"
Quantitative Finance,q-fin.ST,Adaptive Market Efficiency of Agricultural Commodity Futures Contracts,"  In this paper we investigate the adaptive market efficiency of the
agricultural commodity futures market, using a sample of eight futures
contracts. Using a battery of nonlinear tests, we uncover the nonlinear serial
dependence in the returns series. We run the Hinich portmanteau bicorrelation
test to uncover the moments in which the nonlinear serial dependence, and
therefore adaptive market efficiency, occurs for our sample.
"
Physics,cond-mat.mes-hall,Dimensional crossover of thermal conductance in nanowires,"  Dimensional dependence of thermal conductance at low temperatures in
nanowires is studied using the nonequilibrium Green's function (NEGF) method.
Our calculation shows a smooth dimensional crossover of thermal conductance in
nanowire from one-dimensional to three-dimensional behavior with the increase
of diameters. The results are consistent with the experimental findings that
the temperature dependence of thermal conductance at low temperature for
diameters from tens to hundreds nanometers will be close to Debye law. The
calculation also suggests that universal thermal conductance is only observable
in nanowires with small diameters. We also find that the interfacial thermal
conductance across Si and Ge nanowire is much lower than the corresponding
value in bulk materials.
"
Nonlinear Sciences,nlin.PS,"Analytical and numerical studying of the perturbed Korteweg--de Vries
  equation","  The perturbed Korteweg--de Vries equation is considered. This equation is
used for the description of one--dimensional viscous gas dynamics, nonlinear
waves in a liquid with gas bubbles and nonlinear acoustic waves. The
integrability of this equation is investigated using the Painlev\'e approach.
The condition for parameters for the integrability of the perturbed
Korteweg--de Vries equation equation is established. New classical and
nonclassical symmetries admitted by this equation are found. All corresponding
symmetry reductions are obtained. New exact solutions of these reductions are
constructed. They are expressed via trigonometric and Airy functions. Stability
of the exact solutions of the perturbed Korteweg--de Vries equation is
investigated numerically.
"
Quantitative Biology,q-bio.CB,"The Bacterial Chemotactic Response Reflects a Compromise Between
  Transient and Steady State Behavior","  Swimming bacteria detect chemical gradients by performing temporal
comparisons of recent measurements of chemical concentration. These comparisons
are described quantitatively by the chemotactic response function, which we
expect to optimize chemotactic behavioral performance. We identify two
independent chemotactic performance criteria: in the short run, a favorable
response function should move bacteria up chemoattractant gradients, while in
the long run, bacteria should aggregate at peaks of chemoattractant
concentration. Surprisingly, these two criteria conflict, so that when one
performance criterion is most favorable, the other is unfavorable. Since both
types of behavior are biologically relevant, we include both behaviors in a
composite optimization that yields a response function that closely resembles
experimental measurements. Our work suggests that the bacterial chemotactic
response function can be derived from simple behavioral considerations, and
sheds light on how the response function contributes to chemotactic
performance.
"
Quantitative Biology,q-bio.OT,"Schr\""{o}dinger's ""What is Life?"" at 75","  2019 marked the 75th anniversary of the publication of Erwin
Schr\""{o}dinger's ""What is Life?"", a short book described by Roger Penrose in
his preface to a reprint of this classic as ""among the most influential
scientific writings of the 20th century."" In this article, I review the long
argument made by Schr\""{o}dinger as he mused on how the laws of physics could
help us understand ""the events in space and time which take place within the
spatial boundary of a living organism."" Though Schr\""{o}dinger's book is often
hailed for its influence on some of the titans who founded molecular biology,
this article takes a different tack. Instead of exploring the way the book
touched biologists such as James Watson and Francis Crick, as well as its
critical reception by others such as Linus Pauling and Max Perutz, I argue that
Schr\""{o}dinger's classic is a timeless manifesto, rather than a dated
historical curiosity. ""What is Life?"" is full of timely outlooks and approaches
to understanding the mysterious living world that includes and surrounds us and
can instead be viewed as a call to arms to tackle the great unanswered
challenges in the study of living matter that remain for 21$^{st}$ century
science.
"
Economics,econ.TH,"A comparison between behavioral similarity methods vs standard deviation method in predicting time series dataset, case study of finance market","In statistical modeling, prediction and explanation are two fundamental objectives. When the primary goal is forecasting, it is important to account for the inherent uncertainty associated with estimating unknown outcomes. Traditionally, confidence intervals constructed using standard deviations have served as a formal means to quantify this uncertainty and evaluate the closeness of predicted values to their true counterparts. This approach reflects an implicit aim to capture the behavioral similarity between observed and estimated values. However, advances in similarity based approaches present promising alternatives to conventional variance based techniques, particularly in contexts characterized by large datasets or a high number of explanatory variables. This study aims to investigate which methods either traditional or similarity based are capable of producing narrower confidence intervals under comparable conditions, thereby offering more precise and informative intervals. The dataset utilized in this study consists of U.S. mega cap companies, comprising 42 firms. Due to the high number of features, interdependencies among predictors are common, therefore, Ridge Regression is applied to address this issue. The research findings indicate that variance based method and LCSS exhibit the highest coverage among the analyzed methods, although they produce broader intervals. Conversely, DTW, Hausdorff, and TWED deliver narrower intervals, positioning them as the most accurate methods, despite their medium coverage rates. Ultimately, the trade off between interval width and coverage underscores the necessity for context aware decision making when selecting similarity based methods for confidence interval estimation in time series analysis."
Computer Science,cs.LG,Classification of Images Using Support Vector Machines,"  Support Vector Machines (SVMs) are a relatively new supervised classification
technique to the land cover mapping community. They have their roots in
Statistical Learning Theory and have gained prominence because they are robust,
accurate and are effective even when using a small training sample. By their
nature SVMs are essentially binary classifiers, however, they can be adopted to
handle the multiple classification tasks common in remote sensing studies. The
two approaches commonly used are the One-Against-One (1A1) and One-Against-All
(1AA) techniques. In this paper, these approaches are evaluated in as far as
their impact and implication for land cover mapping. The main finding from this
research is that whereas the 1AA technique is more predisposed to yielding
unclassified and mixed pixels, the resulting classification accuracy is not
significantly different from 1A1 approach. It is the authors conclusions that
ultimately the choice of technique adopted boils down to personal preference
and the uniqueness of the dataset at hand.
"
Physics,cond-mat.soft,Optical far-infrared properties of graphene monolayer and multilayers,"  We analyze the features of the graphene mono- and multilayer reflectance in
the far-infrared region as a function of frequency, temperature, and carrier
density taking the intraband conductance and the interband electron absorbtion
into account. The dispersion of plasmon mode of the multilayers is calculated
using Maxwell's equations with the influence of retardation included. At low
temperatures and high electron densities, the reflectance of multilayers as a
function of frequency has the sharp downfall and the subsequent deep well due
to the threshold of electron interband absorbtion.
"
Quantitative Finance,q-fin.GN,Hierarchical structure in phonographic market,"  I find a topological arrangement of assets traded in a phonographic market
which has associated a meaningful economic taxonomy. I continue using the
Minimal Spanning Tree and the Life-time Of Correlations between assets, but now
outside the stock markets. This is the first attempt to use these methods on
phonographic market where we have artists instead of stocks. The value of an
artist is defined by record sales. The graph is obtained starting from the
matrix of correlations coefficient computed between the world's most popular 30
artists by considering the synchronous time evolution of the difference of the
logarithm of weekly record sales. This method provides the hierarchical
structure of phonographic market and information on which music genre is
meaningful according to customers.
"
Quantitative Biology,q-bio.OT,"La fauna de mam\'iferos f\'osiles del dep\'osito paleontol\'ogico ""El
  Abr\'on"" (nivel ix), Pinar del R\'io, Cuba","  ""El Abr\'on"" is a fossil deposit located in Pinar del Rio, Cuba, and whose
age is only reference level VII (17 406 years BP), it is classified as the
largest collection of fossils accumulated for our archipelago, produced by
trophic action of barn owls for thousands of years. The aim of this study was
to determine the living taxonomic composition of the fauna of extinct mammals,
and throughout the paleontological study of the deeper level of said tank
(Level IX). The extracted material which it is currently stored in the
warehouse of paleontological collections of the National Museum of Natural
History in Havana, Cuba (MNHNCu) was analyzed. We proceeded to clean the bones,
to classify and to identify them from the species and also the taphonomic
analysis of the condition of the remains. It was found that the mammal fauna of
the paleontological deposit under study is composed essentially of 3 orders, 7
families and 14 species. The most significative order is Chiroptera (bat
fauna), represented by 4 families, 9 genus and 9 species of the total which
were identified. There were reported four species of bats Erophylla sezecorni,
Monophyllus redmani, Pteronotus parnelli and Tadarida brasiliensis in the
location. The results are the basis of the future paleoecological studies in
order to reconstruct the natural history of these species. Moreover, the
discovery of new species in this area is a contribution to the knowledge about
the distribution of these species in the Cuban archipelago and the age of them.
Finally, the taphonomic analysis of the conservation status of these remains
permitted the understanding of the processes that gave rise to the tank and its
characteristics, and also it contribute to an adequate estimation of the
species present in it and the relationship between spatiotemporal with the
fossil.
"
Electrical Engineering,eess.SP,"A Novel Scheme for Support Identification and Iterative Sampling of
  Bandlimited Graph Signals","  We study the problem of sampling and reconstruction of bandlimited graph
signals where the objective is to select a node subset of prescribed
cardinality that ensures interpolation of the original signal with the lowest
reconstruction error. We propose an efficient iterative selection sampling
approach and show that in the noiseless case the original signal is exactly
recovered from the set of selected nodes. In the case of noisy measurements, a
bound on the reconstruction error of the proposed algorithm is established. We
further address the support identification of the bandlimited signal with
unknown support and show that under a pragmatic sufficient condition, the
proposed framework requires minimal number of samples to perfectly identify the
support. The efficacy of the proposed methods are illustrated through numerical
simulations on synthetic and real-world graphs.
"
Statistics,stat.CO,"Efficient MCMC Sampling with Dimension-Free Convergence Rate using
  ADMM-type Splitting","  Performing exact Bayesian inference for complex models is computationally
intractable. Markov chain Monte Carlo (MCMC) algorithms can provide reliable
approximations of the posterior distribution but are expensive for large
datasets and high-dimensional models. A standard approach to mitigate this
complexity consists in using subsampling techniques or distributing the data
across a cluster. However, these approaches are typically unreliable in
high-dimensional scenarios. We focus here on a recent alternative class of MCMC
schemes exploiting a splitting strategy akin to the one used by the celebrated
alternating direction of multipliers (ADMM) optimization algorithm. These
methods appear to provide empirically state-of-the-art performance but their
theoretical behavior in high dimension is currently unknown. In this paper, we
propose a detailed theoretical study of one of these algorithms known as the
split Gibbs sampler. Under regularity conditions, we establish explicit
convergence rates for this scheme using Ricci curvature and coupling ideas. We
support our theory with numerical illustrations.
"
Quantitative Finance,q-fin.ST,Adaptive financial networks with static and dynamic thresholds,"  Based on the daily data of American and Chinese stock markets, the dynamic
behavior of a financial network with static and dynamic thresholds is
investigated. Compared with the static threshold, the dynamic threshold
suppresses the large fluctuation induced by the cross-correlation of individual
stock prices, and leads to a stable topological structure in the dynamic
evolution. Long-range time-correlations are revealed for the average clustering
coefficient, average degree and cross-correlation of degrees. The dynamic
network shows a two-peak behavior in the degree distribution.
"
Mathematics,math.AP,Decay of the Maxwell field on the Schwarzschild manifold,"  We study solutions of the decoupled Maxwell equations in the exterior region
of a Schwarzschild black hole. In stationary regions, where the Schwarzschild
coordinate $r$ ranges over $2M < r_1 < r < r_2$, we obtain a decay rate of
$t^{-1}$ for all components of the Maxwell field. We use vector field methods
and do not require a spherical harmonic decomposition.
  In outgoing regions, where the Regge-Wheeler tortoise coordinate is large,
$r_*>\epsilon t$, we obtain decay for the null components with rates of
$|\phi_+| \sim |\alpha| < C r^{-5/2}$, $|\phi_0| \sim |\rho| + |\sigma| < C
r^{-2} |t-r_*|^{-1/2}$, and $|\phi_{-1}| \sim |\underline{\alpha}| < C r^{-1}
|t-r_*|^{-1}$. Along the event horizon and in ingoing regions, where $r_*<0$,
and when $t+r_*1$, all components (normalized with respect to an ingoing null
basis) decay at a rate of $C \uout^{-1}$ with $\uout=t+r_*$ in the exterior
region.
"
Electrical Engineering,eess.SY,"Distributed Leader-Follower Formation Tracking Control of Multiple
  Quad-rotors","  The leader-follower formation control analysis for multiple quad-rotor
systems is investigated in this paper. To achieve predefined formation in the
three-dimensional air space ($x,y$ and $z$), a novel local tracking control law
and a distributed observer are obtained. The local tracking control law starts
with finding a bounded continuous yet greater-than-zero control in $z$, based
on which following a feedback linearization controls derived for errors
associated with $x$ and $y$. The distributed observer achieves position
coordination among followers, though there are only partial followers can know
the leader's states and only neighboring communication is available. Simulation
results validate the proposed formation scheme.
"
Physics,math-ph,Energy Current Correlations For Weakly Anharmonic Lattices,"  We discuss energy current correlations in thermal equilibrium and point out
the linkage to the fluctuating Peierls equation.
"
Mathematics,math.QA,A groupoid approach to noncommutative T-duality,"  Topological T-duality is a transformation taking a gerbe on a principal torus
bundle to a gerbe on a principal dual-torus bundle. We give a new geometric
construction of T-dualization, which allows the duality to be extended in
following two directions. First, bundles of groups other than tori, even
bundles of some nonabelian groups, can be dualized. Second, bundles whose duals
are families of noncommutative groups (in the sense of noncommutative geometry)
can be treated, though in this case the base space of the bundles is best
viewed as a topological stack.
  Some methods developed for the construction may be of independent interest.
These are a Pontryagin type duality that interchanges commutative principal
bundles with gerbes, a nonabelian Takai type duality for groupoids, and the
computation of certain equivariant Brauer groups.
"
Nonlinear Sciences,nlin.PS,Standing lattice solitons in the discrete NLS equation with saturation,"  We consider standing lattice solitons for discrete nonlinear Schrodinger
equation with saturation (NLSS), where so-called transparent points were
recently discovered. These transparent points are the values of the governing
parameter (e.g., the lattice spacing) for which the Peierls-Nabarro barrier
vanishes. In order to explain the existence of transparent points, we study a
solitary wave solution in the continuous NLSS and analyse the singularities of
its analytic continuation in the complex plane. The existence of a quadruplet
of logarithmic singularities nearest to the real axis is proven and applied to
two settings: (i) the fourth-order differential equation arising as the
next-order continuum approximation of the discrete NLSS and (ii) the
advance-delay version of the discrete NLSS.
"
Statistics,stat.ML,Adapting to Non-stationarity with Growing Expert Ensembles,"  When dealing with time series with complex non-stationarities, low
retrospective regret on individual realizations is a more appropriate goal than
low prospective risk in expectation. Online learning algorithms provide
powerful guarantees of this form, and have often been proposed for use with
non-stationary processes because of their ability to switch between different
forecasters or ``experts''. However, existing methods assume that the set of
experts whose forecasts are to be combined are all given at the start, which is
not plausible when dealing with a genuinely historical or evolutionary system.
We show how to modify the ``fixed shares'' algorithm for tracking the best
expert to cope with a steadily growing set of experts, obtained by fitting new
models to new data as it becomes available, and obtain regret bounds for the
growing ensemble.
"
Mathematics,math.RA,Universal localisations of hereditary rings,"  We describe all possible universal localisations of a hereditary ring in
terms of suitable full subcategories of the category of finitely presented
modules. For these universal localisations we then identify the category of
finitely presented bound modules over the universal localisation as being
equivalent to a certain full subcategory of the category of finitely presented
bound modules over the original ring. We also describe the abelian monoid of
finitely generated projective modules over the universal localisation.
"
Physics,physics.app-ph,"A Thermodynamic Perspective of Negative-capacitance
  Field-effect-transistors","  Physical phenomena underlying operation of ferroelectric field-effect
transistors (FeFETs) is treated within a unified simulation framework. The
framework incorporates the Landau mean-field treatment of free energy of a
ferroelectric and the polarization dynamics according to Landau-Khalatnikov
(LK) equation. These equations are self-consistently solved with the
one-dimensional metal-oxide-semiconductor (MOS) structure electrostatics and
the drift-diffusion solution for the current in the semiconductor channel.
Numerical simulations demonstrate, depending on the ferroelectric (FE)
thickness, both regimes of hysteresis switching (relevant for a non-volatile
memory) and of higher on-currents and steeper subthreshold slope (SS) with a
negligible hysteresis (relevant for logic) via the negative capacitance effect.
"
Electrical Engineering,eess.AS,Approximate Fixed-Points in Recurrent Neural Networks,"  Recurrent neural networks are widely used in speech and language processing.
Due to dependency on the past, standard algorithms for training these models,
such as back-propagation through time (BPTT), cannot be efficiently
parallelised. Furthermore, applying these models to more complex structures
than sequences requires inference time approximations, which introduce
inconsistency between inference and training. This paper shows that recurrent
neural networks can be reformulated as fixed-points of non-linear equation
systems. These fixed-points can be computed using an iterative algorithm
exactly and in as many iterations as the length of any given sequence. Each
iteration of this algorithm adds one additional Markovian-like order of
dependencies such that upon termination all dependencies modelled by the
recurrent neural networks have been incorporated. Although exact fixed-points
inherit the same parallelization and inconsistency issues, this paper shows
that approximate fixed-points can be computed in parallel and used consistently
in training and inference including tasks such as lattice rescoring.
Experimental validation is performed in two tasks, Penn Tree Bank and
WikiText-2, and shows that approximate fixed-points yield competitive
prediction performance to recurrent neural networks trained using the BPTT
algorithm.
"
Electrical Engineering,eess.AS,"A fully recurrent feature extraction for single channel speech
  enhancement","  Convolutional neural network (CNN) modules are widely being used to build
high-end speech enhancement neural models. However, the feature extraction
power of vanilla CNN modules has been limited by the dimensionality constraint
of the convolution kernels that are integrated - thereby, they have limitations
to adequately model the noise context information at the feature extraction
stage. To this end, adding recurrency factor into the feature extracting CNN
layers, we introduce a robust context-aware feature extraction strategy for
single-channel speech enhancement. As shown, adding recurrency results in
capturing the local statistics of noise attributes at the extracted features
level and thus, the suggested model is effective in differentiating speech cues
even at very noisy conditions. When evaluated against enhancement models using
vanilla CNN modules, in unseen noise conditions, the suggested model with
recurrency in the feature extraction layers has produced a segmental SNR (SSNR)
gain of up to 1.5 dB, an improvement of 0.4 in subjective quality in the Mean
Opinion Score scale, while the parameters to be optimized are reduced by 25%.
"
Computer Science,cs.SD,"Ad Hoc Microphone Array Calibration: Euclidean Distance Matrix
  Completion Algorithm and Theoretical Guarantees","  This paper addresses the problem of ad hoc microphone array calibration where
only partial information about the distances between microphones is available.
We construct a matrix consisting of the pairwise distances and propose to
estimate the missing entries based on a novel Euclidean distance matrix
completion algorithm by alternative low-rank matrix completion and projection
onto the Euclidean distance space. This approach confines the recovered matrix
to the EDM cone at each iteration of the matrix completion algorithm. The
theoretical guarantees of the calibration performance are obtained considering
the random and locally structured missing entries as well as the measurement
noise on the known distances. This study elucidates the links between the
calibration error and the number of microphones along with the noise level and
the ratio of missing distances. Thorough experiments on real data recordings
and simulated setups are conducted to demonstrate these theoretical insights. A
significant improvement is achieved by the proposed Euclidean distance matrix
completion algorithm over the state-of-the-art techniques for ad hoc microphone
array calibration.
"
Economics,econ.EM,Weighted asymmetric least squares regression with fixed-effects,"  The fixed-effects model estimates the regressor effects on the mean of the
response, which is inadequate to summarize the variable relationships in the
presence of heteroscedasticity. In this paper, we adapt the asymmetric least
squares (expectile) regression to the fixed-effects model and propose a new
model: expectile regression with fixed-effects $(\ERFE).$ The $\ERFE$ model
applies the within transformation strategy to concentrate out the incidental
parameter and estimates the regressor effects on the expectiles of the response
distribution. The $\ERFE$ model captures the data heteroscedasticity and
eliminates any bias resulting from the correlation between the regressors and
the omitted factors. We derive the asymptotic properties of the $\ERFE$
estimators and suggest robust estimators of its covariance matrix. Our
simulations show that the $\ERFE$ estimator is unbiased and outperforms its
competitors. Our real data analysis shows its ability to capture data
heteroscedasticity (see our R package, \url{github.com/AmBarry/erfe}).
"
Quantitative Finance,q-fin.MF,The Impact of Negative Interest Rates on Optimal Capital Injections,"  In the present paper, we investigate the optimal capital injection behaviour
of an insurance company if the interest rate is allowed to become negative. The
surplus process of the considered insurance entity is assumed to follow a
Brownian motion with drift. The changes in the interest rate are described via
a Markov-switching process. It turns out that in times with a positive rate, it
is optimal to inject capital only if the company becomes insolvent. However, if
the rate is negative it might be optimal to hold a strictly positive reserve.
We establish an algorithm for finding the value function and the optimal
strategy, which is proved to be of barrier type. Using the iteration argument,
we show that the value function solves the Hamilton--Jacobi--Bellman equation,
corresponding to the problem.
"
Quantitative Finance,q-fin.RM,"Ordering the smallest claim amounts from two sets of interdependent
  heterogeneous portfolios","  Let $ X_{\lambda_1},\ldots,X_{\lambda_n}$ be a set of dependent and
non-negative random variables share a survival copula and let $Y_i=
I_{p_i}X_{\lambda_i}$, $i=1,\ldots,n$, where $I_{p_1},\ldots,I_{p_n}$ be
independent Bernoulli random variables independent of $X_{\lambda_i}$'s, with
${\rm E}[I_{p_i}]=p_i$, $i=1,\ldots,n$. In actuarial sciences, $Y_i$
corresponds to the claim amount in a portfolio of risks. This paper considers
comparing the smallest claim amounts from two sets of interdependent
portfolios, in the sense of usual and likelihood ratio orders, when the
variables in one set have the parameters $\lambda_1,\ldots,\lambda_n$ and
$p_1,\ldots,p_n$ and the variables in the other set have the parameters
$\lambda^{*}_1,\ldots,\lambda^{*}_n$ and $p^*_1,\ldots,p^*_n$. Also, we present
some bounds for survival function of the smallest claim amount in a portfolio.
To illustrate validity of the results, we serve some applicable models.
"
Electrical Engineering,eess.IV,"A Nonlocal InSAR Filter for High-Resolution DEM Generation from TanDEM-X
  Interferograms","  This paper presents a nonlocal InSAR filter with the goal of generating
digital elevation models of higher resolution and accuracy from bistatic
TanDEM-X strip map interferograms than with the processing chain used in
production. The currently employed boxcar multilooking filter naturally
decreases the resolution and has inherent limitations on what level of noise
reduction can be achieved. The proposed filter is specifically designed to
account for the inherent diversity of natural terrain by setting several
filtering parameters adaptively. In particular, it considers the local fringe
frequency and scene heterogeneity, ensuring proper denoising of interferograms
with considerable underlying topography as well as urban areas. A comparison
using synthetic and TanDEM-X bistatic strip map datasets with existing InSAR
filters shows the effectiveness of the proposed techniques, most of which could
readily be integrated into existing nonlocal filters. The resulting digital
elevation models outclass the ones produced with the existing global TanDEM-X
DEM processing chain by effectively increasing the resolution from 12m to 6m
and lowering the noise level by roughly a factor of two.
"
Economics,econ.TH,Optimal Refund Mechanism with Consumer Learning,"  This paper studies the optimal refund mechanism when an uninformed buyer can
privately acquire information about his valuation of a product over time. We
consider a class of refund mechanisms based on stochastic return policies: if
the buyer requests a return, the seller will issue a (partial) refund while
allowing the buyer to keep the product with some probability. Such return
policies can affect the buyer's learning process and thereby influence the
return rate. Nevertheless, we show that the optimal refund mechanism is
deterministic and takes a simple form: either the seller offers a sufficiently
low price and disallows returns to deter buyer learning, or she offers a
sufficiently high price with free returns to implement maximal buyer learning.
The form of the optimal refund mechanism is non-monotone in the buyer's prior
belief regarding his valuation.
"
Economics,econ.TH,Recursive contracts in non-convex environments,"In this paper we examine non-convex dynamic optimization problems with forward looking constraints. We prove that the recursive multiplier formulation in \cite{marcet2019recursive} gives the optimal value if one assumes that the planner has access to a public randomization device and forward looking constraints only have to hold in expectations. Whether one formulates the functional equation as a sup-inf problem or as an inf-sup problem is essential for the timing of the optimal lottery and for determining which constraints have to hold in expectations. We discuss for which economic problems the use of lotteries can be considered a reasonable assumption. We provide a general method to recover the optimal policy from a solution of the functional equation. As an application of our results, we consider the Ramsey problem of optimal government policy and give examples where lotteries are essential for the optimal solution."
Statistics,stat.CO,"Efficient Computation of Gaussian Likelihoods for Stationary Markov
  Random Field Models","  Rue and Held (2005) proposed a method for efficiently computing the Gaussian
likelihood for stationary Markov random field models, when the data locations
fall on a complete regular grid, and the model has no additive error term. The
calculations rely on the availability of the covariances. We prove a theorem
giving the rate of convergence of a spectral method of computing the
covariances, establishing that the error decays faster than any polynomial in
the size of the computing grid. We extend the exact likelihood calculations to
the case of non-rectangular domains and missing values on the interior of the
grid and to the case when an additive uncorrelated error term (nugget) is
present in the model. We also give an alternative formulation of the likelihood
that has a smaller memory burden, parts of which can be computed in parallel.
We show in simulations that using the exact likelihood can give far better
parameter estimates than using standard Markov random field approximations.
Having access to the exact likelihood allows for model comparisons via
likelihood ratios on large datasets, so as an application of the methods, we
compare several state-of-the-art methods for large spatial datasets on an
aerosol optical thickness dataset. We find that simple block independent
likelihood and composite likelihood methods outperform stochastic partial
differential equation approximations in terms of computation time and returning
parameter estimates that nearly maximize the likelihood.
"
Mathematics,math.HO,New demonstrations about the resolution of numbers into squares,"  Translated from the Latin original ""Novae demonstrationes circa resolutionem
numerorum in quadrata"" (1774). E445 in the Enestrom index. See Chapter III,
section XI of Weil's ""Number theory: an approach through history"". Also, a very
clear proof of the four squares theorem based on Euler's is Theorem 370 in
Hardy and Wright, ""An introduction to the theory of numbers"", fifth ed. It uses
Theorem 87 in Hardy and Wright, but otherwise does not assume anything else
from their book. I translated most of the paper and checked those details a few
months ago, but only finished last few parts now. If anything isn't clear
please email me.
"
Nonlinear Sciences,nlin.CG,"Construction of an isotropic cellular automaton for a reaction-diffusion
  equation by means of a random walk","  We propose a new method to construct an isotropic cellular automaton
corresponding to a reaction-diffusion equation. The method consists of
replacing the diffusion term and the reaction term of the reaction-diffusion
equation with a random walk of microscopic particles and a discrete vector
field which defines the time evolution of the particles. The cellular automaton
thus obtained can retain isotropy and therefore reproduces the patterns found
in the numerical solutions of the reaction-diffusion equation. As a specific
example, we apply the method to the Belousov-Zhabotinsky reaction in excitable
media.
"
Electrical Engineering,eess.SY,"Fast Solutions in Power System Simulation through Coupling with
  Data-Driven Power Flow Models for Voltage Estimation","  Power systems solvers are vital tools in planning, operating, and optimizing
electrical distribution networks. The current generation of solvers employ
computationally expensive iterative methods to compute sequential solutions. To
accelerate these simulations, this paper proposes a novel method that replaces
the physics-based solvers with data-driven models for many steps of the
simulation. In this method, computationally inexpensive data-driven models
learn from training data generated by the power flow solver and are used to
predict system solutions. Clustering is used to build a separate model for each
operating mode of the system. Heuristic methods are developed to choose between
the model and solver at each step, managing the trade-off between error and
speed. For the IEEE 123 bus test system this methodology is shown to reduce
simulation time for a typical quasi-steady state time-series simulation by
avoiding the solver for 86.7% of test samples, achieving a median prediction
error of 0.049%.
"
Mathematics,math.AC,"F-thresholds, tight closure, integral closure, and multiplicity bounds","  The F-threshold $c^J(\a)$ of an ideal $\a$ with respect to the ideal $J$ is a
positive characteristic invariant obtained by comparing the powers of $\a$ with
the Frobenius powers of $J$. We show that under mild assumptions, we can detect
the containment in the integral closure or the tight closure of a parameter
ideal using F-thresholds. We formulate a conjecture bounding $c^J(\a)$ in terms
of the multiplicities $e(\a)$ and $e(J)$, when $\a$ and $J$ are
zero-dimensional ideals, and $J$ is generated by a system of parameters. We
prove the conjecture when $J$ is a monomial ideal in a polynomial ring, and
also when $\a$ and $J$ are generated by homogeneous systems of parameters in a
Cohen-Macaulay graded $k$-algebra.
"
Physics,cond-mat.mtrl-sci,"Viscoplastic Properties and Tribological Behavior of Diamond-Like Carbon
  Films Using Nanoindentation and Nanoscratch Tests","  Diamond-Like Carbon (DLC) films have been shown to demonstrate various
tribological behaviors: in ultra-high vacuum (UHV), with either friction
coefficients as low as 0.01 or less and very mild wear, or very high friction
coefficients (>0.4) and drastic wear. These behaviors depend notably on gaseous
environment, hydrogen content of the film [1], and on its viscoplastic
properties [2,3]. A relation between superlow friction in UHV and
viscoplasticity has indeed been established for a-C:H films and confirmed for a
fluorinated sample (a-C:F:H). In this study, nanoindentation and nanoscratch
tests were conducted in ambient air, using a nanoindentation apparatus, in
order to evaluate tribological behaviors, as well as mechanical and
viscoplastic properties of different amorphous carbon films.
"
